Key,Short Name,Publication Year,Author,Title,Publication Title,Date,Study,Measure(s) of Walkability,ATS?,PA Type,MVPA?,Other PA,Other transport,Measure of PA,Ages,Sample Size,Country,Finding,Other Notes,Effect on ATS,Effect on PA,Consensus,Include?,Reason,
TEYRFQ8I,Bringolf-Isler 2018,2018,"Bringolf-Isler, B.; Schindler, C.; Kayser, B.; Suggs, LS.; Probst-Hensch, SOPHYA, N;",Objectively measured physical activity in population-representative parent-child pairs: parental modelling matters and is context-specific,BMC Public Health,2018,SOPHYA,Frank excluding retail,,,accelerometer,,,,16-Jun,,Switzerland,I am confused and need to look into this further,,,,,No,No measure of significance,
8J42XH96,Sallis 2015,2015,"Sallis, James F.; Cain, Kelli L.; Conway, Terry L.; Gavand, Kavita A.; Millstein, Rachel A.; Geremia, Carrie M.; Frank, Lawrence D.; Saelens, Brian E.; Glanz, Karen; King, Abby C.",Is your neighborhood designed to support physical activity? A brief streetscape audit tool,PREVENTING CHRONIC DISEASE,2015-09,Neighborhood impact on kids; teen environment and neighborhood,MAPS-Mini,self report; parent report,MVPA; location-based PA,accelerometer,,,,9.1 (1.6); 14.1 (1.4),"758 children, 897 adolescents",USA,Significant associations between items on MAPS-mini and active transportation. MAPS-Mini only related to leisure PA for children. Commercial areas and transit stops were negatively associated with leisure PA in children.,,?,Mixed,Mixed,yes,,
K93LEF9U,D'Haese 2016,2016,"D'Haese, S.; Gheysen, F.; De, I., Bourdeaudhuij; Deforche, B.; Van, D., Dyck; Cardon, G.",The moderating effect of psychosocial factors in the relation between neighborhood walkability and children's physical activity,The international journal of behavioral nutrition and physical activity,2016,BEPAS_child,Frank excluding retail,parent report,,accelerometer,,,,12-Sep,494,Belgium,Walkability had significant negative interactions with friend support and self-efficacy on weekend MVPA. Attitude x walkability had a significant negative association with weekday MVPA. ,,Mixed,,,No,No relationship between walkability and PA,
3AAGCGKS,Sallis 2018,2018,"Sallis, JF.; Conway, TL.; Cain, KL.; Carlson, JA.; Frank, LD.; Kerr, J.; Glanz, K.; Chapman, JE.; Saelens, BE.","Neighborhood built environment and socioeconomic status in relation to physical activity, sedentary behavior, and weight status of adolescents",Preventive medicine,2018,Teen Environment and Neighborhood study,Frank including retail,,MVPA; Total PA; organized PA,accelerometer,"Total PA outside of school, self-report",,,16-Dec,928,USA,Higher walkability was significantly related to higher MVPA,,,Positive,Positive,yes,,
G999LUHS,Stevens 2011,2011,"Stevens, Robert B.; Brown, Barbara B.","Walkable new urban LEED_Neighborhood-Development (LEED-ND) community design and children's physical activity: selection, environmental, or catalyst effects?",INTERNATIONAL JOURNAL OF BEHAVIORAL NUTRITION AND PHYSICAL ACTIVITY,12/20/11,,"Stratified, walkably-designed community",,other PA,accelerometer,,,,5th grade,187,USA,"Walkability was related to more MVPA during the half hour before and after school. For boys only, walkability related to more MVPA after school.",One of my favorite papers. Very sad to not include it,-,Positive,Positive,No,Only stratified walkability,Might include this elsewhere?
53UAQI8Y,Dunton 2012,2012,"Dunton, GF.; Intille, SS.; Wolch, J.; Pentz, MA.",Children's perceptions of physical activity environments captured through ecological momentary assessment: a validation study,Preventive medicine,2012,,NEWS (parent),,,acclerometer,,,,13-Sep,108,USA,No relationship between MVPA and perceived environment characteristics in full model,,,Neutral,,No,Not walkability,
YALF5Z29,Ganzar 2024,2024,"Ganzar, LA.; Burford, K.; Salvo, D.; Spoon, C.; Sallis, JF.; Hoelscher, DM.","Development, scoring, and reliability for the microscale audit of pedestrian streetscapes for safe routes to school (MAPS-SRTS) instrument",BMC Public Health,2024,,MAPS-SRTS,,,,,,,,,,,,,,,No,Does not measure PA,
EYJHC4AD,Tappe 2013,2013,"Tappe, Karyn A.; Glanz, Karen; Sallis, James F.; Zhou, Chuan; Saelens, Brian E.",Children’s physical activity and parents’ perception of the neighborhood environment: neighborhood impact on kids study,International Journal of Behavioral Nutrition and Physical Activity,3/27/13,Neighborhood impact on kids,Frank including retail,No,MVPA; location-based PA; other PA,accelerometer,,,MVPA (acceleromter),11-Jun,724,USA,No significant relationship found between walkability and objectively measured MVPA,,-,Neutral,Neutral,yes,,
D8YHWCQS,Holt 2008,2008,"Holt, N. L.; Spence, J. C.; Sehn, Z. L.; Cutumisu, N.",Neighborhood and developmental differences in children's perceptions of opportunities for play and physical activity,HEALTH & PLACE,2008-03,,Frank excluding retail,Mental map self report,,,Mental map self report,,,12-Jun,168,Canada,Children in high walkable neighborhood depicted more active transport than children in low walkable neighborhood,,,,,No,Does not measure PA,
XF9GF6ST,Huang 2010,2010,"Huang, SJ.; Hung, WC.; Sharpe, PA.; Wai, JP.",Neighborhood environment and physical activity among urban and rural schoolchildren in Taiwan,Health & place,2010,,NEWS,,,self report,,,,12-Nov,726,Taiwan,"Walkability was not significantly different between urban and rural environments, but accessibility was much higher for urban environments. Walkability was not significantly associated with PA, but accessibility had a positive association with PA.",,,Mixed,,No,Cluster analysis. Not a direct association.,
